STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,LABOUR_FORCE_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y65T69,,POP,,2020,,6.53107158268375,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y65T69,,POP,,2021,,6.62974535324284,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y65T69,,POP,,2022,,6.69141489874736,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y70T74,,POP,,2020,,5.71443180613954,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y70T74,,POP,,2021,,5.87468684681239,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y70T74,,POP,,2022,,5.93771538982008,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BEL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,2.74880954751958,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BEL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.15438770209302,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,BEL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.06217052672453,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.18636983437285,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,3.40038397595315,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CHL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,3.49150620623806,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,COL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.02091332277693,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,COL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,2.7379050789482,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,COL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,2.83653165528292,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DNK,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,6.01775914368582,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DNK,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,6.20085087163358,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DNK,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.95915513713031,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EST,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,6.76456311504552,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,EST,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,6.92362821912552,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,FRA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,6.58527105101878,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,FRA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,6.55900353207177,,A,,,,1,
