STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,AGE,,SEX,,STATISTICAL_OPERATION,,TIME_PERIOD,,OBS_VALUE,,HSPA,,METHODOLOGY,,TIME_RANGE,,DECIMALS,,OBS_STATUS,,OBS_STATUS2,,OBS_STATUS3,,UNIT_MULT,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,CZE,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,357.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,CZE,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2022,,357.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,CZE,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,354.6,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,185,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2016,,181.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,172.2,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2018,,162.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,178.6,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2020,,161.4,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,159.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2022,,155.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,144.8,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DNK,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2024,,157.5,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,305.2,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2016,,294.5,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,268,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2018,,265.2,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,268.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2020,,243.1,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,208,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2022,,206.1,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,EST,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,208.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,284.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2016,,275.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,293.6,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2018,,285.8,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,295.7,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2020,,284,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,277.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2022,,220.8,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,FIN,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,211.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DEU,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,416.1,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DEU,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,418.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DEU,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,423.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DEU,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2021,,362.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,DEU,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2023,,380.3,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2015,,162,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2016,,158,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2017,,161.9,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2018,,161.2,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2019,,158.6,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PC(1.1),,I,IRL,,A,,ADMRCHFL,,10P5HB,,Y_GE15,,_T,,OBS,,2020,,153.6,,,,AGE_SEX_STANDARD,,,,1,,,,,,,,0,
